Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,AverageScore
female,group C,some college,standard,none,divorced,sometimes,no,3,school_bus,5 - 10,55,69,65,63.0
female,group C,bachelor's degree,standard,completed,married,never,yes,1,school_bus,5 - 10,76,90,86,84.0
male,group B,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,88,87,90,88.33333333333333
female,group C,some college,standard,completed,single,regularly,yes,1,school_bus,5 - 10,90,94,95,93.0
male,group D,high school,free/reduced,none,married,sometimes,no,3,private,5 - 10,63,57,56,58.666666666666664
male,group E,some college,standard,none,single,regularly,no,3,school_bus,< 5,82,79,73,78.0
female,group B,high school,standard,none,single,never,yes,2,school_bus,> 10,86,94,85,88.33333333333333
male,group B,some college,standard,none,married,sometimes,no,3,private,5 - 10,72,68,67,69.0
male,group D,some college,standard,none,married,regularly,no,3,school_bus,< 5,64,76,74,71.33333333333333
male,group D,master's degree,standard,none,single,never,yes,2,private,< 5,77,81,72,76.66666666666667
female,group A,bachelor's degree,standard,none,married,regularly,yes,0,school_bus,5 - 10,52,49,52,51.0
male,group D,master's degree,standard,none,single,sometimes,no,1,school_bus,< 5,87,84,82,84.33333333333333
male,group C,some high school,free/reduced,completed,single,regularly,yes,1,private,< 5,52,36,40,42.666666666666664
male,group C,some college,free/reduced,completed,married,regularly,yes,2,school_bus,5 - 10,89,75,71,78.33333333333333
female,group C,some college,standard,completed,married,never,no,6,school_bus,< 5,70,78,80,76.0
male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,private,> 10,76,80,76,77.33333333333333
male,group C,bachelor's degree,standard,none,married,sometimes,yes,1,school_bus,< 5,56,54,47,52.333333333333336
male,group B,some high school,standard,completed,divorced,sometimes,yes,1,private,5 - 10,51,54,41,48.666666666666664
male,group E,high school,standard,none,divorced,sometimes,yes,0,school_bus,< 5,67,54,54,58.333333333333336
female,group C,associate's degree,standard,none,married,sometimes,yes,1,private,5 - 10,59,66,67,64.0
male,group D,some college,standard,completed,married,sometimes,yes,0,private,> 10,73,61,70,68.0
female,group D,some high school,standard,none,married,sometimes,no,1,school_bus,5 - 10,76,72,71,73.0
female,group C,some college,free/reduced,none,married,regularly,no,2,private,5 - 10,60,62,65,62.333333333333336
female,group E,some college,free/reduced,completed,single,regularly,yes,1,private,< 5,41,54,54,49.666666666666664
male,group A,high school,standard,none,single,sometimes,no,1,school_bus,5 - 10,57,43,47,49.0
male,group D,some college,standard,none,divorced,sometimes,yes,3,private,> 10,90,74,79,81.0
female,group C,some college,free/reduced,none,single,regularly,yes,1,school_bus,< 5,21,38,33,30.666666666666668
female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,private,< 5,65,73,79,72.33333333333333
male,group E,associate's degree,free/reduced,completed,married,regularly,no,3,private,5 - 10,100,100,95,98.33333333333333
male,group A,some high school,standard,completed,married,sometimes,no,2,private,5 - 10,62,67,69,66.0
female,group B,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,57,68,64,63.0
male,group D,bachelor's degree,standard,none,married,sometimes,no,1,school_bus,5 - 10,54,49,47,50.0
male,group D,some high school,standard,none,single,never,no,2,school_bus,< 5,58,65,58,60.333333333333336
female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,< 5,69,88,88,81.66666666666667
female,group E,high school,free/reduced,completed,married,regularly,yes,1,school_bus,5 - 10,67,75,79,73.66666666666667
male,group B,some college,free/reduced,none,married,sometimes,yes,2,school_bus,< 5,58,59,58,58.333333333333336
female,group B,associate's degree,standard,none,divorced,regularly,yes,2,private,5 - 10,62,87,89,79.33333333333333
male,group D,associate's degree,free/reduced,none,married,regularly,no,3,school_bus,> 10,70,63,66,66.33333333333333
male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,5 - 10,82,78,74,78.0
female,group E,some college,free/reduced,completed,married,sometimes,yes,3,school_bus,5 - 10,75,88,85,82.66666666666667
male,group B,master's degree,free/reduced,none,single,never,no,2,school_bus,5 - 10,48,53,52,51.0
male,group C,high school,standard,none,divorced,sometimes,yes,1,school_bus,5 - 10,52,53,49,51.333333333333336
female,group E,master's degree,standard,none,married,never,yes,3,private,< 5,76,89,86,83.66666666666667
female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0,school_bus,5 - 10,96,100,100,98.66666666666667
male,group C,high school,free/reduced,completed,single,sometimes,yes,5,private,5 - 10,53,51,51,51.666666666666664
female,group B,master's degree,free/reduced,completed,married,regularly,no,1,private,> 10,62,79,83,74.66666666666667
female,group B,high school,standard,completed,married,regularly,yes,2,private,5 - 10,70,84,79,77.66666666666667
male,group A,high school,standard,completed,divorced,regularly,yes,5,school_bus,> 10,76,75,77,76.0
male,group E,some high school,standard,none,married,sometimes,no,3,school_bus,< 5,91,86,76,84.33333333333333
female,group D,some college,standard,none,single,never,yes,3,school_bus,5 - 10,76,84,78,79.33333333333333
female,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,63,67,70,66.66666666666667
female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,41,50,52,47.666666666666664
female,group C,master's degree,standard,completed,divorced,sometimes,yes,1,school_bus,5 - 10,81,92,89,87.33333333333333
female,group B,high school,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,44,53,56,51.0
female,group C,associate's degree,standard,completed,married,regularly,yes,2,school_bus,< 5,70,76,77,74.33333333333333
female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2,school_bus,5 - 10,54,72,65,63.666666666666664
female,group D,some high school,standard,completed,divorced,regularly,yes,0,school_bus,5 - 10,99,100,100,99.66666666666667
male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2,private,< 5,60,68,75,67.66666666666667
female,group C,some college,free/reduced,none,single,sometimes,yes,1,private,5 - 10,46,64,66,58.666666666666664
female,group E,high school,standard,none,married,sometimes,yes,3,private,5 - 10,50,50,47,49.0
female,group D,associate's degree,standard,none,single,sometimes,no,2,private,< 5,63,67,68,66.0
male,group C,associate's degree,free/reduced,completed,married,never,yes,5,private,< 5,61,65,62,62.666666666666664
male,group E,high school,standard,none,married,never,yes,1,school_bus,< 5,75,73,62,70.0
male,group D,some high school,standard,completed,married,sometimes,no,4,private,5 - 10,62,66,68,65.33333333333333
male,group B,some high school,free/reduced,none,married,regularly,no,3,school_bus,< 5,47,51,45,47.666666666666664
female,group C,bachelor's degree,standard,none,single,sometimes,yes,1,school_bus,< 5,74,86,85,81.66666666666667
female,group E,associate's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,66,65,69,66.66666666666667
male,group D,some college,standard,completed,married,sometimes,no,2,school_bus,< 5,73,81,77,77.0
female,group B,some high school,standard,none,single,sometimes,no,3,private,5 - 10,62,64,66,64.0
male,group D,some college,standard,completed,married,regularly,yes,4,school_bus,5 - 10,79,62,63,68.0
female,group C,master's degree,standard,completed,married,regularly,yes,1,school_bus,< 5,69,85,87,80.33333333333333
male,group D,associate's degree,standard,none,married,regularly,no,4,school_bus,< 5,60,54,52,55.333333333333336
male,group C,some college,free/reduced,completed,married,never,yes,1,school_bus,5 - 10,57,67,63,62.333333333333336
male,group E,high school,free/reduced,none,married,sometimes,no,7,private,> 10,56,56,52,54.666666666666664
female,group B,some college,free/reduced,none,widowed,regularly,yes,3,school_bus,> 10,47,54,57,52.666666666666664
female,group B,bachelor's degree,free/reduced,none,married,regularly,yes,3,private,5 - 10,80,80,77,79.0
female,group C,associate's degree,standard,completed,single,regularly,no,1,private,< 5,66,83,86,78.33333333333333
female,group D,some college,free/reduced,none,divorced,sometimes,yes,3,school_bus,< 5,63,79,75,72.33333333333333
male,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,69,77,69,71.66666666666667
female,group C,associate's degree,standard,none,married,regularly,yes,2,school_bus,5 - 10,58,70,69,65.66666666666667
male,group C,some college,standard,none,single,regularly,yes,1,school_bus,< 5,58,40,42,46.666666666666664
male,group D,some high school,standard,completed,married,sometimes,yes,2,school_bus,< 5,71,69,76,72.0
male,group E,bachelor's degree,standard,none,married,regularly,yes,4,school_bus,5 - 10,84,62,63,69.66666666666667
male,group E,high school,standard,completed,married,regularly,no,2,school_bus,5 - 10,83,81,77,80.33333333333333
female,group B,some college,free/reduced,none,married,regularly,yes,1,private,< 5,73,80,76,76.33333333333333
female,group B,some college,free/reduced,none,single,sometimes,no,2,school_bus,5 - 10,58,61,66,61.666666666666664
male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3,school_bus,< 5,77,77,77,77.0
male,group C,some college,free/reduced,none,married,sometimes,yes,3,school_bus,5 - 10,35,28,27,30.0
female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,school_bus,5 - 10,42,62,60,54.666666666666664
male,group C,associate's degree,free/reduced,completed,single,regularly,no,1,school_bus,5 - 10,61,51,57,56.333333333333336
male,group E,high school,standard,none,married,sometimes,yes,1,private,5 - 10,87,91,81,86.33333333333333
male,group B,some high school,standard,completed,married,regularly,no,2,private,5 - 10,86,84,76,82.0
female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,< 5,80,84,86,83.33333333333333
female,group C,high school,free/reduced,none,married,regularly,no,3,school_bus,< 5,33,41,39,37.666666666666664
male,group B,high school,free/reduced,none,married,sometimes,no,2,school_bus,< 5,64,75,68,69.0
male,group B,some high school,standard,completed,single,never,no,1,school_bus,5 - 10,59,55,54,56.0
female,group D,high school,standard,completed,widowed,regularly,yes,4,school_bus,5 - 10,57,69,75,67.0
male,group B,associate's degree,standard,none,married,sometimes,yes,0,school_bus,> 10,89,86,74,83.0
female,group C,some high school,free/reduced,none,divorced,sometimes,no,3,school_bus,5 - 10,55,65,62,60.666666666666664
male,group D,some high school,standard,none,married,regularly,no,3,school_bus,5 - 10,88,81,76,81.66666666666667
female,group B,associate's degree,standard,completed,divorced,regularly,yes,3,school_bus,> 10,55,67,76,66.0
female,group E,master's degree,free/reduced,none,married,sometimes,no,2,private,< 5,43,55,52,50.0
female,group C,some college,standard,none,married,sometimes,yes,5,school_bus,5 - 10,72,72,71,71.66666666666667
male,group D,high school,standard,none,single,regularly,yes,0,school_bus,5 - 10,58,50,55,54.333333333333336
male,group A,some college,free/reduced,none,divorced,sometimes,no,4,school_bus,5 - 10,68,72,64,68.0
female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,> 10,93,97,98,96.0
male,group D,some college,standard,none,married,regularly,yes,0,school_bus,5 - 10,78,64,67,69.66666666666667
male,group C,associate's degree,standard,none,married,regularly,yes,1,private,5 - 10,47,43,43,44.333333333333336
female,group B,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,67,86,83,78.66666666666667
male,group E,some high school,standard,none,divorced,sometimes,yes,3,school_bus,> 10,94,88,79,87.0
male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,85,83,85,84.33333333333333
male,group D,associate's degree,standard,none,married,regularly,no,1,school_bus,> 10,84,77,80,80.33333333333333
male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2,school_bus,< 5,62,65,67,64.66666666666667
female,group D,some high school,standard,none,married,sometimes,yes,4,school_bus,< 5,62,59,72,64.33333333333333
male,group B,some college,standard,none,married,regularly,yes,2,private,> 10,57,53,53,54.333333333333336
male,group C,associate's degree,standard,none,married,sometimes,yes,1,private,5 - 10,84,80,80,81.33333333333333
male,group D,high school,free/reduced,completed,divorced,sometimes,yes,1,private,> 10,75,69,67,70.33333333333333
female,group E,bachelor's degree,standard,none,single,regularly,no,4,private,5 - 10,82,84,85,83.66666666666667
male,group E,some college,standard,none,single,regularly,no,2,school_bus,< 5,58,50,43,50.333333333333336
male,group D,some high school,standard,none,divorced,regularly,yes,1,school_bus,< 5,74,73,69,72.0
male,group C,associate's degree,standard,none,married,sometimes,no,3,private,< 5,82,74,69,75.0
male,group E,associate's degree,standard,none,married,regularly,no,2,school_bus,5 - 10,91,77,75,81.0
female,group B,high school,standard,completed,single,sometimes,yes,1,private,5 - 10,58,70,68,65.33333333333333
female,group B,high school,standard,none,married,sometimes,yes,2,private,< 5,63,63,60,62.0
male,group C,high school,standard,none,married,sometimes,no,2,school_bus,> 10,70,60,54,61.333333333333336
male,group A,some high school,standard,completed,single,sometimes,yes,2,school_bus,5 - 10,47,49,49,48.333333333333336
female,group D,some college,free/reduced,none,married,regularly,yes,4,school_bus,< 5,70,82,83,78.33333333333333
female,group B,some high school,standard,completed,single,sometimes,yes,3,private,5 - 10,60,70,70,66.66666666666667
male,group D,master's degree,standard,none,married,sometimes,no,3,school_bus,5 - 10,80,80,72,77.33333333333333
male,group D,high school,standard,none,married,sometimes,yes,0,private,5 - 10,54,52,52,52.666666666666664
female,group E,some college,standard,none,single,sometimes,no,1,school_bus,5 - 10,62,73,70,68.33333333333333
female,group C,associate's degree,free/reduced,none,single,sometimes,no,5,private,< 5,62,71,66,66.33333333333333
male,group C,associate's degree,standard,completed,married,regularly,yes,1,school_bus,5 - 10,80,78,78,78.66666666666667
female,group C,some high school,free/reduced,completed,married,sometimes,yes,1,private,> 10,65,80,78,74.33333333333333
male,group C,some college,standard,completed,married,sometimes,no,2,school_bus,5 - 10,79,79,78,78.66666666666667
female,group C,some high school,free/reduced,none,married,regularly,no,2,private,5 - 10,45,50,52,49.0
female,group E,high school,standard,none,single,sometimes,yes,1,private,5 - 10,99,93,90,94.0
male,group D,high school,standard,none,married,sometimes,no,2,private,5 - 10,76,73,68,72.33333333333333
male,group D,some high school,free/reduced,none,divorced,sometimes,no,1,school_bus,< 5,57,41,40,46.0
female,group C,bachelor's degree,standard,none,married,sometimes,no,2,school_bus,< 5,61,73,79,71.0
female,group D,high school,standard,none,married,regularly,no,3,school_bus,5 - 10,71,73,78,74.0
female,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,> 10,93,94,99,95.33333333333333
female,group E,some college,free/reduced,none,married,sometimes,no,2,school_bus,5 - 10,71,76,70,72.33333333333333
male,group C,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,69,63,61,64.33333333333333
male,group C,some college,standard,none,single,regularly,yes,1,school_bus,< 5,57,48,42,49.0
female,group D,associate's degree,free/reduced,none,single,regularly,yes,2,private,5 - 10,48,53,59,53.333333333333336
female,group D,some college,standard,none,married,sometimes,no,2,private,5 - 10,65,70,71,68.66666666666667
male,group B,some college,standard,completed,widowed,sometimes,yes,1,school_bus,< 5,85,83,74,80.66666666666667
male,group C,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,5 - 10,83,78,73,78.0
female,group C,some high school,standard,completed,married,sometimes,yes,3,private,< 5,82,90,91,87.66666666666667
female,group E,some college,standard,completed,single,sometimes,no,4,school_bus,< 5,57,62,73,64.0
female,group C,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,5 - 10,65,86,80,77.0
male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2,school_bus,5 - 10,73,56,57,62.0
male,group D,high school,standard,none,divorced,sometimes,no,2,private,5 - 10,45,48,46,46.333333333333336
female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3,school_bus,5 - 10,75,80,86,80.33333333333333
female,group D,some college,free/reduced,completed,married,never,yes,2,school_bus,5 - 10,67,76,76,73.0
female,group C,some high school,standard,none,married,regularly,yes,0,private,< 5,36,45,46,42.333333333333336
male,group B,associate's degree,standard,completed,married,never,yes,3,school_bus,5 - 10,78,80,79,79.0
male,group E,associate's degree,standard,completed,married,regularly,yes,0,private,5 - 10,99,83,90,90.66666666666667
female,group B,some high school,standard,none,married,sometimes,no,1,school_bus,< 5,64,87,80,77.0
male,group B,bachelor's degree,free/reduced,none,single,sometimes,yes,0,school_bus,< 5,85,73,74,77.33333333333333
male,group C,some high school,standard,completed,married,sometimes,yes,1,school_bus,> 10,79,77,78,78.0
male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,5 - 10,76,70,68,71.33333333333333
male,group D,some high school,standard,none,married,sometimes,yes,2,private,< 5,83,71,68,74.0
male,group C,some high school,standard,completed,married,never,yes,1,private,5 - 10,61,59,55,58.333333333333336
female,group E,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,> 10,66,74,76,72.0
male,group D,high school,free/reduced,completed,single,regularly,yes,3,school_bus,5 - 10,80,78,82,80.0
male,group B,associate's degree,free/reduced,none,married,never,yes,1,school_bus,> 10,66,61,59,62.0
male,group C,some high school,standard,completed,widowed,regularly,no,2,school_bus,5 - 10,47,41,44,44.0
male,group C,associate's degree,standard,completed,single,regularly,no,1,school_bus,5 - 10,73,75,69,72.33333333333333
male,group C,some college,free/reduced,completed,single,regularly,no,2,private,< 5,39,45,50,44.666666666666664
male,group D,associate's degree,free/reduced,none,married,regularly,no,2,school_bus,< 5,89,86,75,83.33333333333333
male,group A,some college,free/reduced,completed,married,never,yes,2,private,< 5,76,75,77,76.0
